YearStart,LocationAbbr,LocationDesc,Data_Value
2022,AL,Alabama,33.7
2022,AK,Alaska,36.4
2022,AZ,Arizona,33.5
2022,AR,Arkansas,33.6
2022,CA,California,34.7
2022,CO,Colorado,35.6
2022,CT,Connecticut,35.6
2022,DE,Delaware,33.9
2022,DC,District of Columbia,30.9
2022,FL,Florida,34.5
2022,GA,Georgia,31.9
2022,HI,Hawaii,33.8
2022,ID,Idaho,35.4
2022,IL,Illinois,33.9
2022,IN,Indiana,33.3
2022,IA,Iowa,33.8
2022,KS,Kansas,33.4
2022,KY,Kentucky,34.1
2022,LA,Louisiana,31.7
2022,ME,Maine,33.0
2022,MD,Maryland,34.4
2022,MA,Massachusetts,34.7
2022,MI,Michigan,32.8
2022,MN,Minnesota,34.9
2022,MS,Mississippi,32.7
2022,MO,Missouri,33.9
2022,MT,Montana,35.4
2022,US,National,34.1
2022,NE,Nebraska,35.1
2022,NV,Nevada,33.8
2022,NH,New Hampshire,36.7
2022,NJ,New Jersey,36.7
2022,NM,New Mexico,36.9
2022,NY,New York,33.9
2022,NC,North Carolina,35.2
2022,ND,North Dakota,35.6
2022,OH,Ohio,32.8
2022,OK,Oklahoma,32.3
2022,OR,Oregon,36.0
2022,PA,Pennsylvania,34.3
2022,RI,Rhode Island,36.5
2022,SC,South Carolina,34.8
2022,SD,South Dakota,35.4
2022,TN,Tennessee,32.0
2022,TX,Texas,34.7
2022,UT,Utah,34.2
2022,VT,Vermont,34.1
2022,VA,Virginia,32.1
2022,WA,Washington,34.6
2022,WV,West Virginia,33.4
2022,WI,Wisconsin,33.0
2022,WY,Wyoming,35.6
